Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,image_url
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1,725.4,"390,470,936","30,716","196,631,588",92.0,"84,274,754","1,713,126","5,767,700","651,565,900","5,332,281,936","150,597,040",210.0,"40,975",684,62.0,"17,598,718",114.0,"18,004,655","22,931","4,818,457","2,669,262",0.0,0,https://i.scdn.co/image/ab67616d0000b27301c0cd5da820e6128655854f
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2,545.9,"323,703,884","28,113","174,597,137",92.0,"116,347,040","3,486,739","674,700","35,223,547","208,339,025","156,380,351",188.0,"40,778",3,67.0,"10,422,430",111.0,"7,780,028","28,444","6,623,075","1,118,279",0.0,1,https://i.scdn.co/image/ab67616d0000b2731ea0c62b2339cbf493a999ad
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3,538.4,"601,309,283","54,331","211,607,669",92.0,"122,599,116","2,228,730","3,025,400","275,154,237","3,369,120,610","373,784,955",190.0,"74,333",536,136.0,"36,321,847",172.0,"5,022,621","5,639","7,208,651","5,285,340",0.0,0,https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,4,444.9,"2,031,280,633","269,802","136,569,078",85.0,"1,096,100,899","10,629,796","7,189,811","1,078,757,968","14,603,725,994","3,351,188,582",394.0,"1,474,799","2,182",264.0,"24,684,248",210.0,"190,260,277","203,384",0,"11,822,942",0.0,0,https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5,423.3,"107,034,922","7,223","151,469,874",88.0,"77,373,957","3,670,188","16,400",0,0,"112,763,851",182.0,"12,185",1,82.0,"17,660,624",105.0,"4,493,884","7,006","207,179","457,017",0.0,1,https://i.scdn.co/image/ab67616d0000b273810603c94c9246379604cf1a
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6,410.1,"670,665,438","105,892","175,421,034",83.0,"131,148,091","1,392,593","4,202,367","214,943,489","2,938,686,633","2,867,222,632",138.0,"522,042","4,654",86.0,"17,167,254",152.0,"138,529,362","50,982","9,438,601","4,517,131",0.0,1,https://i.scdn.co/image/ab67616d0000b273fcf4adae77baba5d0169e8e8
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7,407.2,"900,158,751","73,118","201,585,714",86.0,"308,723,145","4,120,760",0,"29,584,940","534,915,313","4,601,579,812",280.0,"383,478",429,168.0,"48,197,850",154.0,"65,447,476","57,372",0,"9,990,302",0.0,0,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40
Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,8,375.8,"675,079,153","40,094","211,236,940",92.0,"228,382,568","1,439,495","3,500,000","338,546,668","3,804,584,163","2,112,581,620",160.0,"17,221",30,87.0,"33,245,595",53.0,"3,372,428","5,762",0,"6,063,523",0.0,1,https://i.scdn.co/image/ab67616d0000b273c4583f3ad76630879a75450a
Danza Kuduro - Cover,-  -,MUSIC LAB JPN,2024-06-09,TCJPA2463708,9,355.7,"1,653,018,119",1,15,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,1,https://i.scdn.co/image/ab67616d0000b2739627edca19c44dbaf56279f7
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10,330.6,"90,676,573","10,400","184,199,419",86.0,"32,735,244","988,682","325,800","121,574,500","974,656,200","174,706,874",191.0,"3,823",117,78.0,"10,800,098",92.0,"1,005,626",842,"3,679,709","666,302",0.0,1,https://i.scdn.co/image/ab67616d0000b2737b588bf0555bde606f8b27c7
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,USUM72404990,11,322.1,"250,080,413","16,219","168,766,158",91.0,"32,229,063","550,191",0,"184,500","2,100,000","327,130,768",157.0,"62,312",71,60.0,"12,009,073",114.0,"23,155,471","21,172","1,594,605","963,413",0.0,1,https://i.scdn.co/image/ab67616d0000b27397306976e3eb8aad53b754eb
The Door,The Door,Teddy Swims,2024-06-14,USWB12402486,12,320.2,"111,155,129",2,"263,767",0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,2.0,0,0,0,0,0.0,1,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401991,13,316.3,"221,636,195","13,800","197,280,692",92.0,"40,022,524","1,307,290","195,300","45,889,000","360,017,000","342,107,131",244.0,"41,344",45,138.0,"38,243,636",163.0,"1,354,692","1,219","1,313,357","450,344",0.0,0,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
Like That,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402041,14,308.2,"355,186,436","43,025","108,168,634",88.0,"98,081,493","1,456,177",0,0,0,"174,491,415",153.0,"90,237",3,55.0,"3,001,826",109.0,"26,252,264","18,364","12,038,034","1,963,314",0.0,1,https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8
bathroom floor,bathroom floor,Kids With Buns,2022-10-07,NLC242100307,15,301.6,"297,185",277,"24,445",12.0,"6,736,502,312","16,785,489",3,"1,088","22,234",0,1.0,"1,057",0,0.0,0,0.0,0,0,0,"3,288",0.0,0,https://i.scdn.co/image/ab67616d0000b2738c4c19ebfa83b429e1ebaa1f
LALA,LALA - Single,Myke Towers,2023-03-22,USWL12300002,16,299.9,"925,655,569","103,605","79,944,921",79.0,"934,302,031","4,294,166","11,054,500","521,725,116","7,499,234,052","2,042,145,659",94.0,"92,231",228,60.0,"5,633,435",83.0,"12,171,026","13,242","871,978","2,765,808",0.0,1,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401028,17,297.6,"395,433,400","12,784","177,932,568",89.0,"104,673,836","2,484,083","139,300","25,348,800","207,317,000","268,893,710",221.0,"129,968",3,99.0,"37,988,531",134.0,"9,961,769","13,437","377,734","1,210,029",0.0,0,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33
greedy,greedy,Tate McRae,2023-09-14,USRC12301932,18,293.7,"1,258,569,694","105,218","198,845,580",87.0,"141,646,818","1,514,837","2,294,429","419,319,161","5,456,156,211","2,667,285,437",207.0,"667,329","3,310",188.0,"21,788,568",150.0,"44,850,379","12,270",0,"6,973,652",0.0,1,https://i.scdn.co/image/ab67616d0000b27322fd802bc61db666c7c81aa8
